┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP DS Gearbox                                          │ 6        │ 6    │ 51        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 46        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 45        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 45        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 45        │ 0.0091   │ 1.2   │ 132.0        │ 8.95      │ 216        │ 108       │ 10.85   │ (13, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 46        │ 0.0091   │ 1.2   │ 132.0        │ 8.85      │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 46        │ 0.0091   │ 1.2   │ 132.0        │ 8.85      │ 216        │ 108       │ 10.85   │ (13, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 51        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0091   │ 1.2   │ 132.0        │ 8.8       │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 4        │ 4    │ 52        │ 0.0091   │ 1.2   │ 131.94       │ 9.8       │ 188        │ 87        │ 10.25   │ (12, 50, 24, 50)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0091   │ 1.2   │ 131.66       │ 9.7       │ 195        │ 90        │ 10.7    │ (12, 60, 18, 30)            │
│ EVO Slim                                                │ 6        │ 4    │ 41        │ 0.0091   │ 1.2   │ 131.48       │ 9.3       │ 228        │ 114       │ 11.5    │ (15, 85, 30, 40)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 39        │ 0.0091   │ 1.2   │ 131.44       │ 9.45      │ 217        │ 109       │ 10.9    │ (11, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0092   │ 1.05  │ 114.61       │ 8.25      │ 300        │ 157       │ 16.05   │ (14, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0092   │ 1.05  │ 114.18       │ 8.55      │ 278        │ 158       │ 15.3    │ (11, 50, 34, 40)            │
│ EVO Slim                                                │ 6        │ 6    │ 53        │ 0.0092   │ 1.05  │ 114.18       │ 8.3       │ 294        │ 155       │ 15.9    │ (15, 85, 30, 40)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0092   │ 1.05  │ 114.14       │ 8.45      │ 283        │ 161       │ 15.5    │ (14, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0092   │ 1.05  │ 114.11       │ 8.4       │ 289        │ 165       │ 15.7    │ (12, 42, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0092   │ 1.05  │ 114.05       │ 8.55      │ 278        │ 146       │ 15.3    │ (13, 50, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 50        │ 0.0092   │ 1.05  │ 113.87       │ 8.55      │ 278        │ 159       │ 15.3    │ (12, 64)                    │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 47        │ 0.0092   │ 1.1   │ 120.21       │ 8.8       │ 261        │ 142       │ 14.2    │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 47        │ 0.0092   │ 1.1   │ 120.21       │ 8.8       │ 261        │ 142       │ 14.2    │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 46        │ 0.0092   │ 1.1   │ 119.75       │ 8.85      │ 256        │ 140       │ 13.95   │ (12, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 45        │ 0.0092   │ 1.1   │ 119.73       │ 8.95      │ 250        │ 137       │ 13.7    │ (14, 42, 24, 50)            │
│ WCP DS Gearbox                                          │ 4        │ 4    │ 54        │ 0.0092   │ 1.15  │ 125.67       │ 9.7       │ 195        │ 95        │ 11.2    │ (11, 42, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 42        │ 0.0092   │ 1.15  │ 124.88       │ 9.2       │ 233        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0092   │ 1.2   │ 130.91       │ 9.7       │ 195        │ 91        │ 10.75   │ (14, 58, 16, 32)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 52        │ 0.0092   │ 1.2   │ 130.88       │ 9.8       │ 188        │ 83        │ 10.35   │ (8, 62, 18, 30)             │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 41        │ 0.0092   │ 1.2   │ 130.51       │ 9.3       │ 228        │ 107       │ 11.55   │ (12, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 52        │ 0.0092   │ 1.2   │ 130.28       │ 9.8       │ 188        │ 84        │ 10.4    │ (14, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0092   │ 1.2   │ 130.19       │ 9.75      │ 191        │ 90        │ 10.6    │ (10, 60, 20, 28)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0093   │ 1.05  │ 113.27       │ 8.25      │ 300        │ 172       │ 16.1    │ (12, 50, 34, 40)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0093   │ 1.05  │ 113.22       │ 8.55      │ 278        │ 147       │ 15.35   │ (11, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0093   │ 1.05  │ 112.44       │ 8.3       │ 294        │ 157       │ 16.0    │ (14, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0093   │ 1.05  │ 112.32       │ 8.25      │ 300        │ 160       │ 16.15   │ (12, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0093   │ 1.1   │ 118.48       │ 8.7       │ 267        │ 136       │ 14.6    │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 44        │ 0.0093   │ 1.1   │ 118.17       │ 9.05      │ 244        │ 125       │ 13.55   │ (11, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 42        │ 0.0093   │ 1.15  │ 123.51       │ 9.2       │ 233        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 4        │ 4    │ 53        │ 0.0093   │ 1.15  │ 123.29       │ 9.75      │ 191        │ 95        │ 11.2    │ (11, 42, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 43        │ 0.0093   │ 1.15  │ 123.03       │ 9.1       │ 239        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 4        │ 4    │ 51        │ 0.0093   │ 1.2   │ 129.33       │ 9.85      │ 184        │ 87        │ 10.25   │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 4        │ 6    │ 54        │ 0.0093   │ 1.2   │ 129.27       │ 9.7       │ 195        │ 87        │ 10.9    │ (11, 50, 20, 54)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0093   │ 1.2   │ 129.16       │ 9.75      │ 191        │ 90        │ 10.7    │ (12, 60, 18, 30)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0093   │ 1.2   │ 128.63       │ 9.7       │ 195        │ 93        │ 10.95   │ (9, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0093   │ 1.2   │ 128.42       │ 9.75      │ 191        │ 91        │ 10.75   │ (14, 58, 16, 32)            │
│ EVO Slim                                                │ 6        │ 6    │ 52        │ 0.0094   │ 1.05  │ 111.97       │ 8.4       │ 289        │ 155       │ 15.85   │ (15, 85, 30, 40)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0094   │ 1.05  │ 111.85       │ 8.45      │ 283        │ 165       │ 15.65   │ (12, 42, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0094   │ 1.05  │ 111.84       │ 8.55      │ 278        │ 161       │ 15.45   │ (14, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0094   │ 1.05  │ 111.11       │ 8.3       │ 294        │ 172       │ 16.05   │ (12, 50, 34, 40)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 46        │ 0.0094   │ 1.1   │ 117.57       │ 8.85      │ 256        │ 142       │ 14.15   │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 46        │ 0.0094   │ 1.1   │ 117.57       │ 8.85      │ 256        │ 142       │ 14.15   │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 45        │ 0.0094   │ 1.1   │ 117.07       │ 8.95      │ 250        │ 140       │ 13.95   │ (12, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 44        │ 0.0094   │ 1.1   │ 116.99       │ 9.05      │ 244        │ 137       │ 13.65   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox (SingleSpeed, 1 stage)                   │ 4        │ 4    │ 54        │ 0.0094   │ 1.15  │ 122.44       │ 9.7       │ 195        │ 97        │ 11.5    │ (8, 62)                     │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 43        │ 0.0094   │ 1.15  │ 121.86       │ 9.1       │ 239        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 41        │ 0.0094   │ 1.15  │ 121.81       │ 9.3       │ 228        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 51        │ 0.0094   │ 1.2   │ 128.3        │ 9.85      │ 184        │ 83        │ 10.35   │ (8, 62, 18, 30)             │
│ EVO Slim                                                │ 6        │ 4    │ 40        │ 0.0094   │ 1.2   │ 128.16       │ 9.35      │ 222        │ 114       │ 11.5    │ (15, 85, 30, 40)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 51        │ 0.0094   │ 1.2   │ 127.71       │ 9.85      │ 184        │ 84        │ 10.4    │ (14, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0094   │ 1.2   │ 127.67       │ 9.8       │ 188        │ 90        │ 10.6    │ (10, 60, 20, 28)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 40        │ 0.0094   │ 1.2   │ 127.22       │ 9.35      │ 222        │ 107       │ 11.55   │ (12, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.0095   │ 1.05  │ 110.26       │ 8.4       │ 289        │ 157       │ 15.9    │ (14, 50, 24, 50)            │
│ EVO Slim                                                │ 6        │ 4    │ 54        │ 0.0095   │ 1.05  │ 110.26       │ 8.25      │ 300        │ 176       │ 16.25   │ (15, 85, 38, 32)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0095   │ 1.05  │ 110.19       │ 8.3       │ 294        │ 160       │ 16.1    │ (12, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0095   │ 1.1   │ 115.94       │ 8.8       │ 261        │ 136       │ 14.55   │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 48        │ 0.0095   │ 1.1   │ 115.49       │ 8.7       │ 267        │ 150       │ 14.85   │ (13, 50, 30, 44)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 54        │ 0.0095   │ 1.15  │ 120.93       │ 9.7       │ 195        │ 93        │ 11.65   │ (9, 62, 18, 30)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0095   │ 1.15  │ 120.65       │ 9.7       │ 195        │ 98        │ 11.65   │ (11, 60, 20, 28)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 41        │ 0.0095   │ 1.15  │ 120.47       │ 9.3       │ 228        │ 115       │ 12.45   │ (13, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 4        │ 6    │ 53        │ 0.0095   │ 1.2   │ 126.81       │ 9.75      │ 191        │ 87        │ 10.9    │ (11, 50, 20, 54)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0095   │ 1.2   │ 126.66       │ 9.8       │ 188        │ 90        │ 10.7    │ (12, 60, 18, 30)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 40        │ 0.0095   │ 1.2   │ 126.21       │ 9.35      │ 222        │ 116       │ 11.65   │ (14, 50, 24, 50)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0095   │ 1.2   │ 126.18       │ 9.75      │ 191        │ 93        │ 10.95   │ (9, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0095   │ 1.2   │ 125.93       │ 9.8       │ 188        │ 91        │ 10.75   │ (14, 58, 16, 32)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 50        │ 0.0095   │ 1.2   │ 125.71       │ 9.9       │ 181        │ 83        │ 10.35   │ (8, 62, 18, 30)             │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.9       │ 177        │ 78        │ 9.65    │ (13, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.9       │ 178        │ 78        │ 9.7     │ (9, 62, 16, 32)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.9       │ 178        │ 83        │ 9.75    │ (8, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.9       │ 180        │ 83        │ 9.8     │ (11, 60, 18, 30)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.85      │ 177        │ 78        │ 9.65    │ (13, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.85      │ 178        │ 78        │ 9.7     │ (9, 62, 16, 32)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.85      │ 178        │ 83        │ 9.75    │ (8, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.85      │ 180        │ 83        │ 9.8     │ (11, 60, 18, 30)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.85      │ 183        │ 85        │ 10.0    │ (13, 58, 16, 32)            │
│ EVO Slim                                                │ 4        │ 6    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 173        │ 76        │ 9.45    │ (15, 85, 20, 50)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 177        │ 78        │ 9.65    │ (13, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 178        │ 78        │ 9.7     │ (9, 62, 16, 32)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 178        │ 83        │ 9.75    │ (8, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 180        │ 83        │ 9.8     │ (11, 60, 18, 30)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.8       │ 183        │ 85        │ 10.0    │ (13, 58, 16, 32)            │
│ EVO Slim                                                │ 4        │ 6    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 173        │ 76        │ 9.45    │ (15, 85, 20, 50)            │
│ WCP SS Gearbox                                          │ 4        │ 4    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 173        │ 80        │ 9.4     │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 177        │ 78        │ 9.65    │ (13, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 178        │ 78        │ 9.7     │ (9, 62, 16, 32)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 178        │ 83        │ 9.75    │ (8, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 180        │ 83        │ 9.8     │ (11, 60, 18, 30)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.75      │ 183        │ 85        │ 10.0    │ (13, 58, 16, 32)            │
│ EVO Slim                                                │ 4        │ 6    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 173        │ 76        │ 9.45    │ (15, 85, 20, 50)            │
│ WCP SS Gearbox                                          │ 4        │ 4    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 173        │ 80        │ 9.4     │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 4        │ 6    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 177        │ 78        │ 9.65    │ (13, 42, 14, 60)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 6    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 178        │ 78        │ 9.7     │ (9, 62, 16, 32)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 178        │ 83        │ 9.75    │ (8, 62, 22, 26)             │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 180        │ 83        │ 9.8     │ (11, 60, 18, 30)            │
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)          │ 4        │ 4    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.7       │ 183        │ 85        │ 10.0    │ (13, 58, 16, 32)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 38        │ 0.0095   │ 1.25  │ 132.0        │ 9.5       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 38        │ 0.0095   │ 1.25  │ 132.0        │ 9.5       │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 39        │ 0.0095   │ 1.25  │ 132.0        │ 9.45      │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 39        │ 0.0095   │ 1.25  │ 132.0        │ 9.45      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 39        │ 0.0095   │ 1.25  │ 132.0        │ 9.45      │ 212        │ 98        │ 10.6    │ (11, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 40        │ 0.0095   │ 1.25  │ 132.0        │ 9.35      │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 40        │ 0.0095   │ 1.25  │ 132.0        │ 9.35      │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 41        │ 0.0095   │ 1.25  │ 132.0        │ 9.3       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 41        │ 0.0095   │ 1.25  │ 132.0        │ 9.3       │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 51        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 188        │ 88        │ 9.4     │ (13, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 42        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 42        │ 0.0095   │ 1.25  │ 132.0        │ 9.2       │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 43        │ 0.0095   │ 1.25  │ 132.0        │ 9.1       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 43        │ 0.0095   │ 1.25  │ 132.0        │ 9.1       │ 202        │ 94        │ 10.15   │ (14, 42, 14, 60)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 44        │ 0.0095   │ 1.25  │ 132.0        │ 9.05      │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0095   │ 1.25  │ 132.0        │ 9.0       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0095   │ 1.25  │ 132.0        │ 9.0       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0095   │ 1.25  │ 132.0        │ 9.0       │ 200        │ 101       │ 10.0    │ (12, 50, 24, 50)            │
