┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━┳━
┃ Name                                                     ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test  ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr   ┃ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 78.52        │ 9.95      │ 177        │ 143        │ 
│ VEX 3 CIM Ball Shifter                                   │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 78.49        │ 9.95      │ 177        │ 143        │ 
│ VEX 2 CIM Ball Shifter                                   │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 78.28        │ 9.95      │ 177        │ 134        │ 
│ WCP SS Gearbox                                           │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 78.28        │ 9.95      │ 177        │ 144        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 78.22        │ 9.95      │ 177        │ 134        │ 
│ VEX Single Speed, Single Reduction Gearbox               │ 6        │ 6    │ 44        │ 0.04  │ 3.3   │ 78.21        │ 9.05      │ 244        │ 197        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 78.16        │ 9.95      │ 177        │ 134        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.3   │ 78.06        │ 9.05      │ 244        │ 198        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 77.64        │ 9.95      │ 177        │ 135        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 77.56        │ 9.95      │ 177        │ 145        │ 
│ VEX 3 CIM Ball Shifter                                   │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 77.43        │ 9.95      │ 177        │ 135        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 77.27        │ 9.95      │ 177        │ 135        │ 
│ VEX 3 CIM Ball Shifter                                   │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 76.95        │ 9.95      │ 177        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 76.94        │ 9.95      │ 177        │ 136        │ 
│ WCP SS Gearbox (SingleSpeed, 1 stage)                    │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 76.86        │ 9.95      │ 177        │ 146        │ 
│ VEX Single Speed, Single Reduction Gearbox               │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 76.86        │ 9.95      │ 177        │ 146        │ 
│ EVO Slim                                                 │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 76.86        │ 9.95      │ 177        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.3   │ 76.86        │ 9.95      │ 177        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 76.49        │ 9.95      │ 177        │ 137        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.3   │ 76.42        │ 9.95      │ 177        │ 137        │ 
│ VEX 3 CIM Ball Shifter                                   │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 75.33        │ 10.0      │ 173        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 75.31        │ 10.0      │ 173        │ 136        │ 
│ WCP SS Gearbox (SingleSpeed, 1 stage)                    │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 75.24        │ 10.0      │ 173        │ 146        │ 
│ VEX Single Speed, Single Reduction Gearbox               │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 75.24        │ 10.0      │ 173        │ 146        │ 
│ EVO Slim                                                 │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 75.24        │ 10.0      │ 173        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 75.24        │ 10.0      │ 173        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.3   │ 74.89        │ 9.1       │ 239        │ 201        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 74.88        │ 10.0      │ 173        │ 137        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 74.81        │ 10.0      │ 173        │ 137        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 74.6         │ 10.0      │ 173        │ 137        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 74.6         │ 10.0      │ 173        │ 137        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.3   │ 74.22        │ 9.1       │ 239        │ 203        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.3   │ 74.2         │ 10.0      │ 173        │ 138        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 74.1         │ 10.0      │ 173        │ 148        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 43        │ 0.04  │ 3.3   │ 74.05        │ 9.1       │ 239        │ 226        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.3   │ 74.03        │ 9.1       │ 239        │ 203        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 48        │ 0.04  │ 3.3   │ 73.6         │ 10.0      │ 173        │ 149        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 43        │ 0.04  │ 3.3   │ 73.51        │ 9.1       │ 239        │ 227        │ 
│ WCP DS Gearbox                                           │ 6        │ 6    │ 43        │ 0.04  │ 3.3   │ 73.43        │ 9.1       │ 239        │ 205        │ 
│ WCP SS Gearbox (SingleSpeed, 1 stage)                    │ 4        │ 4    │ 53        │ 0.04  │ 3.35  │ 95.69        │ 9.75      │ 191        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 95.34        │ 9.75      │ 191        │ 120        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 53        │ 0.04  │ 3.35  │ 95.34        │ 9.75      │ 191        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 95.02        │ 9.75      │ 191        │ 120        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 94.97        │ 9.75      │ 191        │ 120        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 53        │ 0.04  │ 3.35  │ 94.49        │ 9.75      │ 191        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 53        │ 0.04  │ 3.35  │ 94.25        │ 9.75      │ 191        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 93.71        │ 9.75      │ 191        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 93.67        │ 9.75      │ 191        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 53        │ 0.04  │ 3.35  │ 93.49        │ 9.75      │ 191        │ 122        │ 
│ WCP DS Gearbox                                           │ 4        │ 4    │ 53        │ 0.04  │ 3.35  │ 93.49        │ 9.75      │ 191        │ 131        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 93.17        │ 9.8       │ 188        │ 120        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 93.13        │ 9.8       │ 188        │ 120        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 93.13        │ 8.95      │ 250        │ 171        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 52        │ 0.04  │ 3.35  │ 92.65        │ 9.8       │ 188        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 52        │ 0.04  │ 3.35  │ 92.42        │ 9.8       │ 188        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 92.33        │ 8.95      │ 250        │ 172        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 91.89        │ 9.8       │ 188        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 91.85        │ 9.8       │ 188        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 45        │ 0.04  │ 3.35  │ 91.85        │ 8.95      │ 250        │ 192        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 45        │ 0.04  │ 3.35  │ 91.74        │ 8.95      │ 250        │ 192        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 91.67        │ 9.8       │ 188        │ 122        │ 
│ WCP DS Gearbox                                           │ 4        │ 4    │ 52        │ 0.04  │ 3.35  │ 91.67        │ 9.8       │ 188        │ 131        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 91.64        │ 8.95      │ 250        │ 174        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 91.49        │ 8.95      │ 250        │ 174        │ 
│ VEX Single Speed, Single Reduction Gearbox               │ 6        │ 4    │ 45        │ 0.04  │ 3.35  │ 91.49        │ 8.95      │ 250        │ 193        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 45        │ 0.04  │ 3.35  │ 91.14        │ 8.95      │ 250        │ 193        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 52        │ 0.04  │ 3.35  │ 91.08        │ 9.8       │ 188        │ 132        │ 
│ WCP DS Gearbox                                           │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 90.97        │ 8.95      │ 250        │ 175        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 90.87        │ 9.8       │ 188        │ 123        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 90.8         │ 9.8       │ 188        │ 123        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 90.8         │ 9.8       │ 188        │ 123        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 52        │ 0.04  │ 3.35  │ 90.8         │ 9.8       │ 188        │ 123        │ 
│ WCP SS Gearbox                                           │ 4        │ 4    │ 52        │ 0.04  │ 3.35  │ 90.8         │ 9.8       │ 188        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 90.62        │ 8.95      │ 250        │ 176        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 45        │ 0.04  │ 3.35  │ 90.58        │ 8.95      │ 250        │ 176        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 90.07        │ 9.85      │ 184        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 90.03        │ 9.85      │ 184        │ 122        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 89.86        │ 9.85      │ 184        │ 122        │ 
│ WCP DS Gearbox                                           │ 4        │ 4    │ 51        │ 0.04  │ 3.35  │ 89.86        │ 9.85      │ 184        │ 131        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 51        │ 0.04  │ 3.35  │ 89.27        │ 9.85      │ 184        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 89.07        │ 9.85      │ 184        │ 123        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 89.0         │ 9.85      │ 184        │ 123        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 89.0         │ 9.85      │ 184        │ 123        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 89.0         │ 9.85      │ 184        │ 123        │ 
│ WCP SS Gearbox                                           │ 4        │ 4    │ 51        │ 0.04  │ 3.35  │ 89.0         │ 9.85      │ 184        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 51        │ 0.04  │ 3.35  │ 88.49        │ 9.85      │ 184        │ 133        │ 
│ VEX 2 CIM Ball Shifter                                   │ 4        │ 4    │ 51        │ 0.04  │ 3.35  │ 88.11        │ 9.85      │ 184        │ 133        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 87.84        │ 9.85      │ 184        │ 125        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 87.68        │ 9.85      │ 184        │ 125        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 51        │ 0.04  │ 3.35  │ 87.67        │ 9.85      │ 184        │ 125        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 50        │ 0.04  │ 3.35  │ 86.7         │ 9.9       │ 181        │ 133        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 86.34        │ 9.05      │ 244        │ 180        │ 
│ VEX 2 CIM Ball Shifter                                   │ 4        │ 4    │ 50        │ 0.04  │ 3.35  │ 86.33        │ 9.9       │ 181        │ 133        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 86.07        │ 9.9       │ 181        │ 125        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 44        │ 0.04  │ 3.35  │ 86.04        │ 9.05      │ 244        │ 200        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 85.95        │ 9.05      │ 244        │ 181        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 85.91        │ 9.9       │ 181        │ 125        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 85.89        │ 9.9       │ 181        │ 125        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 85.85        │ 9.05      │ 244        │ 181        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 50        │ 0.04  │ 3.35  │ 85.61        │ 9.9       │ 181        │ 134        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 4    │ 44        │ 0.04  │ 3.35  │ 85.48        │ 9.05      │ 244        │ 201        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 44        │ 0.04  │ 3.35  │ 85.13        │ 9.05      │ 244        │ 202        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 85.1         │ 9.9       │ 181        │ 126        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 50        │ 0.04  │ 3.35  │ 84.86        │ 9.9       │ 181        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 84.43        │ 9.9       │ 181        │ 127        │ 
│ EVO Slim                                                 │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 84.42        │ 9.05      │ 244        │ 184        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 84.39        │ 9.05      │ 244        │ 184        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 4    │ 50        │ 0.04  │ 3.35  │ 84.32        │ 9.9       │ 181        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 84.29        │ 9.9       │ 181        │ 127        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 84.1         │ 9.9       │ 181        │ 127        │ 
│ WCP SS Gearbox                                           │ 4        │ 6    │ 50        │ 0.04  │ 3.35  │ 84.09        │ 9.9       │ 181        │ 127        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 83.8         │ 9.05      │ 244        │ 185        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 83.76        │ 9.05      │ 244        │ 185        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 83.34        │ 9.95      │ 177        │ 126        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 44        │ 0.04  │ 3.35  │ 83.32        │ 9.05      │ 244        │ 206        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 44        │ 0.04  │ 3.35  │ 83.14        │ 9.05      │ 244        │ 186        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.35  │ 83.1         │ 9.95      │ 177        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 82.69        │ 9.95      │ 177        │ 127        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 4    │ 49        │ 0.04  │ 3.35  │ 82.58        │ 9.95      │ 177        │ 136        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 82.55        │ 9.95      │ 177        │ 127        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 82.36        │ 9.95      │ 177        │ 127        │ 
│ WCP SS Gearbox                                           │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 82.35        │ 9.95      │ 177        │ 127        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 82.3         │ 9.95      │ 177        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.98        │ 9.95      │ 177        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.66        │ 9.95      │ 177        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.35  │ 81.66        │ 9.95      │ 177        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.65        │ 9.95      │ 177        │ 128        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.35  │ 81.65        │ 9.95      │ 177        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.52        │ 9.95      │ 177        │ 129        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.46        │ 9.95      │ 177        │ 129        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.37        │ 9.95      │ 177        │ 129        │ 
│ VEX Single Speed, Double Reduction Gearbox               │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.33        │ 9.95      │ 177        │ 129        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 81.14        │ 9.95      │ 177        │ 129        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 49        │ 0.04  │ 3.35  │ 80.97        │ 9.95      │ 177        │ 139        │ 
│ WCP SS Gearbox                                           │ 4        │ 6    │ 49        │ 0.04  │ 3.35  │ 80.87        │ 9.95      │ 177        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 79.93        │ 9.1       │ 239        │ 189        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 79.86        │ 9.1       │ 239        │ 189        │ 
│ WCP DS Gearbox                                           │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 79.55        │ 9.1       │ 239        │ 190        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 79.26        │ 10.0      │ 173        │ 139        │ 
│ WCP SS Gearbox                                           │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 79.17        │ 10.0      │ 173        │ 130        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 79.1         │ 9.1       │ 239        │ 191        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 78.55        │ 10.0      │ 173        │ 131        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 78.55        │ 9.1       │ 239        │ 192        │ 
│ WCP DS Gearbox                                           │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 78.37        │ 10.0      │ 173        │ 140        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 78.33        │ 10.0      │ 173        │ 141        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 78.23        │ 10.0      │ 173        │ 131        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 78.16        │ 10.0      │ 173        │ 131        │ 
│ EVO Slim                                                 │ 6        │ 4    │ 43        │ 0.04  │ 3.35  │ 78.09        │ 9.1       │ 239        │ 214        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 77.88        │ 9.1       │ 239        │ 194        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 77.75        │ 10.0      │ 173        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 77.69        │ 10.0      │ 173        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 43        │ 0.04  │ 3.35  │ 77.58        │ 9.1       │ 239        │ 216        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 43        │ 0.04  │ 3.35  │ 77.55        │ 9.1       │ 239        │ 216        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 77.52        │ 10.0      │ 173        │ 132        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 77.47        │ 10.0      │ 173        │ 142        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 77.28        │ 9.1       │ 239        │ 195        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 43        │ 0.04  │ 3.35  │ 77.28        │ 9.1       │ 239        │ 195        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 77.17        │ 10.0      │ 173        │ 133        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 76.87        │ 10.0      │ 173        │ 143        │ 
│ VEX 3 CIM Ball Shifter                                   │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 76.84        │ 10.0      │ 173        │ 143        │ 
│ VEX 2 CIM Ball Shifter                                   │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 76.63        │ 10.0      │ 173        │ 134        │ 
│ WCP SS Gearbox                                           │ 4        │ 4    │ 48        │ 0.04  │ 3.35  │ 76.63        │ 10.0      │ 173        │ 144        │ 
│ WCP SS Flipped Gearbox (SingleSpeed, 2 Stages)           │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 76.57        │ 10.0      │ 173        │ 134        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 4        │ 6    │ 48        │ 0.04  │ 3.35  │ 76.51        │ 10.0      │ 173        │ 134        │ 
