┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━┳━
┃ Name                                                     ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test  ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr   ┃ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 132.0        │ 8.25      │ 298        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 132.0        │ 8.25      │ 299        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 132.0        │ 8.25      │ 300        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.15  │ 132.0        │ 8.25      │ 300        │ 163        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 131.99       │ 8.25      │ 300        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.15  │ 131.99       │ 8.25      │ 300        │ 163        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 131.78       │ 8.25      │ 300        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 131.69       │ 8.25      │ 300        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 131.55       │ 8.25      │ 300        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 131.17       │ 8.25      │ 300        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.15  │ 130.89       │ 8.25      │ 300        │ 164        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 130.74       │ 8.25      │ 300        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.15  │ 129.71       │ 8.25      │ 300        │ 149        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 129.04       │ 8.3       │ 294        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 128.67       │ 8.3       │ 294        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.15  │ 128.39       │ 8.3       │ 294        │ 164        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 128.24       │ 8.3       │ 294        │ 148        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 127.24       │ 8.3       │ 294        │ 149        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 53        │ 0.02  │ 3.15  │ 126.96       │ 8.3       │ 294        │ 166        │ 
